
python check_exposure_pixel.py nowt/

 ---------------------------
 All Targets 
 ---------------------------
nowt/
find ./nowt/ |grep 'fits' 
...check exposure time and pixel size of all files...
986
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015225919_2s_0710.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015231433_6s_0736.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015231620_6s_0739.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015230756_2s_0725.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015231059_6s_0730.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015224433_2s_0683.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015225045_1s_0696.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015231706_1s_0741.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015224545_2s_0686.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015224520_6s_0685.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015232256_1s_0750.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015231857_1s_0744.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015230431_2s_0719.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015225940_1s_0711.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015230942_2s_0728.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015231343_1s_0735.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015225609_1s_0705.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015231645_2s_0740.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015231809_6s_0742.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015224958_6s_0694.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_V_20201015231458_2s_0737.fits 	 1088x1024 	 2048x2068 	 2S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015225800_1s_0708.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_R_20201015224344_1s_0681.fits 	 1088x1024 	 2048x2068 	 1S 	             Fu_Ori
./nowt/20201015/clusters_TW/Fu_Ori/Fu_Ori_B_20201015230201_6s_0715.fits 	 1088x1024 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201015/FLAT/FLAT_R_20201015120450_13s_0014.fits 	 4160x4136 	 2048x2068 	 13S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015235020_10s_0762.fits 	 4160x4136 	 2048x2068 	 10S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201016000042_10s_0772.fits 	 4160x4136 	 2048x2068 	 10S 	               FLAT
